© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Workspace	My Projects
Project	AIH_WGCNA
Analysis	top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Date	Thu May 09 22:09:57 PDT 2019
Analysis ID	17791075

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Axonal Guidance Signaling	5.13E-01	NaN	2.00E-03	KEL,	
Xenobiotic Metabolism Signaling	7.03E-01	NaN	3.30E-03	FTL,	
Sirtuin Signaling Pathway	7.17E-01	NaN	3.42E-03	SLC2A1,	
AMPK Signaling	8.19E-01	NaN	4.42E-03	SLC2A1,	
NRF2-mediated Oxidative Stress Response	8.56E-01	NaN	4.85E-03	FTL,	
Acute Phase Response Signaling	9.13E-01	NaN	5.59E-03	FTL,	
Iron homeostasis signaling pathway	1.02E00	NaN	7.30E-03	FTL,	
HIF1α Signaling	1.05E00	NaN	7.75E-03	SLC2A1,	
Antioxidant Action of Vitamin C	1.11E00	NaN	9.01E-03	SLC2A1,	
TR/RXR Activation	1.15E00	NaN	1.00E-02	SLC2A1,	
IL-7 Signaling Pathway	1.19E00	NaN	1.08E-02	SLC2A1,	
Renal Cell Carcinoma Signaling	1.19E00	NaN	1.08E-02	SLC2A1,	
Autophagy	1.36E00	NaN	1.64E-02	CTSB,	
SPINK1 Pancreatic Cancer Pathway	1.37E00	NaN	1.67E-02	CTSB,	
PFKFB4 Signaling Pathway	1.48E00	NaN	2.17E-02	HK1,	
BAG2 Signaling Pathway	1.51E00	NaN	2.33E-02	CTSB,	
Inflammasome pathway	1.84E00	NaN	5.00E-02	CTSB,	
Vitamin-C Transport	1.94E00	NaN	6.25E-02	SLC2A1,	
Glucose and Glucose-1-phosphate Degradation	2.1E00	NaN	9.09E-02	HK1,	
UDP-N-acetyl-D-galactosamine Biosynthesis II	2.1E00	NaN	9.09E-02	HK1,	
GDP-glucose Biosynthesis	2.14E00	NaN	1.00E-01	HK1,	
Phagosome Maturation	2.3E00	NaN	1.35E-02	RILP,CTSB	
Trehalose Degradation II (Trehalase)	2.44E00	NaN	2.00E-01	HK1,	

Upstream Regulators for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	formation	Delay in formation of breast carcinoma	2.17E-03	 	 	 	 	CTSB	1	
Infectious Diseases	disassembly	Disassembly of Reoviridae	2.17E-03	 	 	 	 	CTSB	1	
Cell Cycle	G0/G1 phase transition	Entry into G0/G1 phase transition of extensively self-renewing erythroblasts	2.17E-03	 	 	 	 	KLF1	1	
Cellular Movement	invasion	Invasion of rhabdomyosarcoma cell lines	2.17E-03	 	 	 	 	SLC2A1	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	quantity	Quantity of lysobisphosphatidic acid	2.17E-03	 	 	 	 	RILP	1	
Cellular Assembly and Organization	rearrangement	Rearrangement of endocytotic vesicle	2.17E-03	 	 	 	 	CTSB	1	
Cellular Assembly and Organization, Cellular Function and Maintenance, Cellular Movement	scattering	Scattering of lysosome	2.17E-03	 	 	 	 	RILP	1	
Cellular Assembly and Organization, Cellular Compromise	formation	Formation of cellular inclusion bodies	2.33E-03	 	 	 	 	FTL,CTSB	2	
Cardiovascular System Development and Function, Cellular Movement	migration	Migration of endothelial cell lines	2.62E-03	 	 	 	 	CTSB,BSG	2	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	differentiation	Differentiation of erythroid precursor cells	2.82E-03	 	 	 	 	KLF1,LYL1	2	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	efflux	Efflux of L-glutamic acid	2.89E-03	 	 	 	 	SLC1A5	1	
Hematological Disease, Infectious Diseases	infection	Infection by Reston ebolavirus	2.89E-03	 	 	 	 	CTSB	1	
Cancer, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities, Tumor Morphology	invasion	Invasion of pancreatic endocrine tumor	2.89E-03	 	 	 	 	CTSB	1	
Cell Morphology, Hematological System Development and Function, Hematopoiesis, Tissue Morphology	morphology	Morphology of erythroid cells	2.89E-03	 	 	 	 	KLF1	1	
Cell Cycle, Cellular Assembly and Organization, Cellular Function and Maintenance, DNA Replication, Recombination, and Repair	reorganization	Reorganization of chromatin	2.89E-03	 	 	 	 	KLF1	1	
Carbohydrate Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of galactose	2.89E-03	 	 	 	 	SLC2A1	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of butyric acid	2.89E-03	 	 	 	 	BSG	1	
Cell Death and Survival, Connective Tissue Disorders, Hematological Disease, Organismal Injury and Abnormalities	hemolysis	Hemolysis	2.97E-03	 	 	 	 	HK1,KLF1	2	
Molecular Transport	export	Export of molecule	3.11E-03	 	 	 	 	SLC7A5,SLC1A5,BSG	3	
Cell Death and Survival	cell viability	Cell viability of myeloma cell lines	3.12E-03	 	 	 	 	SLC1A5,HK1	2	
Neurological Disease	neurological disorder	Progressive neurological disorder	3.58E-03	 	 	 	 	FTL,CTSB,SLC2A1,BSG	4	
Cell Morphology, Endocrine System Development and Function, Endocrine System Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of thyroid follicle cells	3.62E-03	 	 	 	 	CTSB	1	
Cellular Assembly and Organization	aggregation	Aggregation of intermediate filaments	3.62E-03	 	 	 	 	OSBP2	1	
Cardiovascular System Development and Function, Cellular Development, Cellular Growth and Proliferation, Organismal Development	angiogenesis	Angiogenesis of tumor cell lines	3.62E-03	 	 	 	 	CTSB	1	
Tissue Morphology	degeneration	Degeneration of extracellular matrix	3.62E-03	 	 	 	 	CTSB	1	
Cellular Compromise	degradation	Degradation of autophagosomes	3.62E-03	 	 	 	 	CTSB	1	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of central memory T lymphocyte	3.62E-03	 	 	 	 	SLC2A1	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Inflammatory Response	inflammatory response	Inflammatory response of T lymphocytes	3.62E-03	 	 	 	 	SLC1A5	1	
Cell Morphology, Endocrine System Disorders, Organ Morphology, Organismal Injury and Abnormalities, Reproductive System Development and Function, Reproductive System Disease	lack	Lack of mitochondrial sheath	3.62E-03	 	 	 	 	OSBP2	1	
Carbohydrate Metabolism, Small Molecule Biochemistry	synthesis	Synthesis of lactose	3.62E-03	 	 	 	 	SLC2A1	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of L-glutamine	3.62E-03	 	 	 	 	SLC1A5	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of L-serine	3.62E-03	 	 	 	 	SLC1A5	1	
Carbohydrate Metabolism, Molecular Transport	transport	Transport of dehydroascorbic acid	3.62E-03	 	 	 	 	SLC2A1	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of L-phenylalanine	3.62E-03	 	 	 	 	SLC7A5	1	
Amino Acid Metabolism, Drug Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of levothyroxine	3.62E-03	 	 	 	 	SLC7A5	1	
Molecular Transport	transport	Transport of carboxylic acid	3.79E-03	 	 	 	 	SLC2A1,BSG	2	
Cellular Development, Cellular Growth and Proliferation, Renal and Urological System Development and Function	growth	Arrest in growth of kidney cell lines	4.34E-03	 	 	 	 	OSBP2	1	
Carbohydrate Metabolism, Small Molecule Biochemistry	modulation	Modulation of D-glucose	4.34E-03	 	 	 	 	SLC2A1	1	
Cellular Development, Cellular Growth and Proliferation, Reproductive System Development and Function	outgrowth	Outgrowth of breast cell lines	4.34E-03	 	 	 	 	SLC2A1	1	
Tissue Morphology	remodeling	Remodeling of extracellular matrix	4.34E-03	 	 	 	 	CTSB	1	
Cellular Compromise	stress response	Stress response of bone cancer cell lines	4.34E-03	 	 	 	 	SLC1A5	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of L-triiodothyronine	4.34E-03	 	 	 	 	SLC7A5	1	
Cell Death and Survival	cell death	Cell death of carcinoma cell lines	4.54E-03	 	 	 	 	CTSB,SPECC1,HK1	3	
Cell Death and Survival	apoptosis	Apoptosis of B-lymphocyte derived cell lines	4.58E-03	 	 	 	 	SLC2A1,HK1	2	
Cellular Development, Cellular Growth and Proliferation	proliferation	Arrest in proliferation of tumor cell lines	4.77E-03	 	 	 	 	SLC7A5,OSBP2	2	
Cell Death and Survival	cell death	Cell death of blood cells	4.87E-03	 	 	 	 	CTSB,SLC2A1,HK1,LYL1	4	
Cell-To-Cell Signaling and Interaction	aggregation	Aggregation of lymphoma cell lines	5.06E-03	 	 	 	 	BSG	1	
Hair and Skin Development and Function	appearance	Appearance of hair	5.06E-03	 	 	 	 	CTSB	1	
Cellular Development, Cellular Growth and Proliferation	proliferation	Arrest in proliferation of cervical cancer cell lines	5.06E-03	 	 	 	 	OSBP2	1	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	cell death	Cell death of non-small-cell lung cancer cells	5.06E-03	 	 	 	 	CTSB	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function	induction	Induction of Th1 cells	5.06E-03	 	 	 	 	SLC1A5	1	
Infectious Diseases	infection	Infection by measles virus	5.06E-03	 	 	 	 	BSG	1	
Cell-To-Cell Signaling and Interaction, Inflammatory Response	inflammatory response	Inflammatory response of tumor cell lines	5.06E-03	 	 	 	 	CTSB	1	
Connective Tissue Disorders, Endocrine System Disorders, Organ Morphology, Organismal Injury and Abnormalities, Reproductive System Development and Function, Reproductive System Disease, Tissue Morphology	loss	Loss of epididymal fat	5.06E-03	 	 	 	 	SLC2A1	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function	proliferation	Proliferation of erythroid cell lines	5.06E-03	 	 	 	 	KLF1	1	
Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of B lymphocytes	5.06E-03	 	 	 	 	CTSB,SLC2A1,LYL1	3	
Cell Morphology, Nervous System Development and Function, Tissue Morphology	morphology	Morphology of axons	5.09E-03	 	 	 	 	CTSB,KEL	2	
Free Radical Scavenging	production	Production of reactive oxygen species	5.24E-03	 	 	 	 	FTL,SLC2A1,HK1	3	
Cancer, Organismal Injury and Abnormalities	angiogenesis	Angiogenesis of tumor	5.36E-03	 	 	 	 	CTSB,LYL1	2	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Tissue Development	differentiation	Differentiation of hematopoietic progenitor cells	5.62E-03	 	 	 	 	KLF1,LYL1,BSG	3	
Cellular Function and Maintenance	homeostasis	Cellular homeostasis	5.68E-03	 	 	 	 	FTL,CTSB,SLC2A1,LYL1,KEL,BSG	6	
Cellular Development, Cellular Growth and Proliferation	growth	Arrest in growth of colorectal cancer cell lines	5.78E-03	 	 	 	 	SLC7A5	1	
Humoral Immune Response, Protein Synthesis	generation	Generation of antibody	5.78E-03	 	 	 	 	CTSB	1	
Carbohydrate Metabolism, Cellular Function and Maintenance	glycolysis	Glycolysis of lung cancer cell lines	5.78E-03	 	 	 	 	SLC2A1	1	
Hematological System Development and Function	hemoglobin concentration distribution width	Hemoglobin concentration distribution width	5.78E-03	 	 	 	 	KEL	1	
Cell-To-Cell Signaling and Interaction, Cellular Function and Maintenance, Inflammatory Response	phagocytosis	Phagocytosis by Sertoli cells	5.78E-03	 	 	 	 	OSBP2	1	
Infectious Diseases, Inflammatory Disease, Inflammatory Response, Neurological Disease	pneumococcal meningitis	Pneumococcal meningitis	5.78E-03	 	 	 	 	CTSB	1	
Lipid Metabolism, Small Molecule Biochemistry	transmission	Transmission of cholesterol	5.78E-03	 	 	 	 	OSBP2	1	
Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Morphology	quantity	Quantity of erythroid precursor cells	5.92E-03	 	 	 	 	LYL1,KEL	2	
Cellular Compromise	stress response	Stress response of cells	5.92E-03	 	 	 	 	CTSB,SLC1A5	2	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of T lymphocytes	6.12E-03	 	 	 	 	SLC2A1,LYL1,BSG	3	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of immature T lymphocytes	6.50E-03	 	 	 	 	BSG	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function	induction	Induction of Th17 cells	6.50E-03	 	 	 	 	SLC1A5	1	
Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Respiratory Disease	inflammation	Inflammation of lung tissue	6.50E-03	 	 	 	 	BSG	1	
Cancer, Cellular Movement, Connective Tissue Disorders, Organismal Injury and Abnormalities	invasion	Invasion of fibroblast-like synoviocytes	6.50E-03	 	 	 	 	BSG	1	
Carbohydrate Metabolism, Small Molecule Biochemistry, Vitamin and Mineral Metabolism	metabolism	Metabolism of ascorbic acid	6.50E-03	 	 	 	 	SLC2A1	1	
Cellular Development, Cellular Growth and Proliferation, Reproductive System Development and Function	cell proliferation	Cell proliferation of breast cell lines	6.65E-03	 	 	 	 	CTSB,SLC2A1	2	
Carbohydrate Metabolism, Cellular Function and Maintenance, Molecular Transport, Small Molecule Biochemistry	transport	Transport of D-glucose	6.73E-03	 	 	 	 	SLC2A1,HK1	2	
Infectious Diseases	infection	Infection of cells	6.83E-03	 	 	 	 	CTSB,SLC2A1,KEL,BSG	4	
Cancer, Organismal Injury and Abnormalities, Tumor Morphology	invasion	Invasion of malignant tumor	6.88E-03	 	 	 	 	CTSB,BSG	2	
Cellular Development, Hematological System Development and Function	differentiation	Differentiation of erythroid cell lines	7.22E-03	 	 	 	 	KLF1	1	
Cancer, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	growth	Growth of pancreatic endocrine tumor	7.22E-03	 	 	 	 	CTSB	1	
Cell Morphology, Skeletal and Muscular System Development and Function	morphology	Morphology of muscle cell lines	7.22E-03	 	 	 	 	CTSB	1	
Neurological Disease, Organismal Injury and Abnormalities	reactive astrogliosis	Reactive astrogliosis	7.22E-03	 	 	 	 	CTSB	1	
Cellular Compromise	stress response	Stress response of sarcoma cell lines	7.22E-03	 	 	 	 	SLC1A5	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of glutamine	7.22E-03	 	 	 	 	SLC1A5	1	
Organismal Survival	survival	Survival of organism	7.37E-03	 	 	 	 	FTL,CTSB,SLC2A1,KLF1	4	
Cancer, Organismal Injury and Abnormalities	adenoma formation	Adenoma	7.51E-03	 	 	 	 	SLC7A5,CTSB,SLC2A1	3	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	erythropoiesis	Erythropoiesis of spleen	7.94E-03	 	 	 	 	LYL1	1	
Cellular Movement	invasion	Invasion of lymphoma cell lines	7.94E-03	 	 	 	 	CTSB	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders	Unverricht-Lundborg syndrome	Unverricht-Lundborg syndrome	7.94E-03	 	 	 	 	CTSB	1	
Cardiovascular System Development and Function, Organismal Development	vasculogenesis	Vasculogenesis	8.33E-03	 	 	 	 	CTSB,KLF1,LYL1,BSG	4	
Cardiovascular Disease, Hematological Disease, Organismal Injury and Abnormalities	anemia	Anemia	8.37E-03	 	 	 	 	SLC2A1,HK1,KLF1	3	
Endocrine System Development and Function, Molecular Transport, Small Molecule Biochemistry	abnormal quantity	Abnormal quantity of thyroid hormone	8.66E-03	 	 	 	 	CTSB	1	
Cellular Assembly and Organization, Hair and Skin Development and Function	aggregation	Aggregation of melanosomes	8.66E-03	 	 	 	 	RILP	1	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cellular infiltration	Cellular infiltration by microglia	8.66E-03	 	 	 	 	BSG	1	
Hematological Disease, Immunological Disease, Infectious Diseases	infection	Infection of monocyte-derived dendritic cells	8.66E-03	 	 	 	 	CTSB	1	
Skeletal and Muscular Disorders	osteolytic bone disease	Osteolytic bone disease	8.66E-03	 	 	 	 	BSG	1	
Cell Death and Survival	apoptosis	Apoptosis of cholangiocarcinoma cell lines	9.37E-03	 	 	 	 	CTSB	1	
Post-Translational Modification, Protein Degradation, Protein Synthesis	cleavage	Cleavage of glycoprotein	9.37E-03	 	 	 	 	CTSB	1	
Cell Morphology, Cellular Assembly and Organization	permeability	Permeability of mitochondria	9.37E-03	 	 	 	 	HK1	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of aromatic amino acid	9.37E-03	 	 	 	 	SLC7A5	1	
Cell Death and Survival	apoptosis	Apoptosis of hepatoma cell lines	9.52E-03	 	 	 	 	CTSB,BSG	2	
Cellular Development, Cellular Growth and Proliferation	cell proliferation	Cell proliferation of carcinoma cell lines	9.88E-03	 	 	 	 	SLC2A1,HK1,BSG	3	
Nervous System Development and Function, Neurological Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of stratum pyramidale	1.01E-02	 	 	 	 	CTSB	1	
Cardiovascular System Development and Function, Organ Development	activation	Activation of heart	1.01E-02	 	 	 	 	SLC2A1	1	
Infectious Diseases	entrance	Entrance of HIV-1	1.01E-02	 	 	 	 	BSG	1	
Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Morphology	quantity	Quantity of burst-forming erythroid cells	1.01E-02	 	 	 	 	LYL1	1	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tumor Morphology	proliferation	Proliferation of tumor cells	1.02E-02	 	 	 	 	CTSB,LYL1,BSG	3	
Cellular Function and Maintenance, Small Molecule Biochemistry	homeostasis	Homeostasis of divalent cations	1.07E-02	 	 	 	 	FTL,KEL	2	
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of hepatoma cell lines	1.08E-02	 	 	 	 	BSG	1	
Cell Morphology, Nervous System Development and Function, Neurological Disease, Tissue Morphology	enlargement	Enlargement of axons	1.08E-02	 	 	 	 	CTSB	1	
Infectious Diseases	infection	Infection of gonadal cell lines	1.08E-02	 	 	 	 	BSG	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	Philadelphia-positive B-cell acute lymphoblastic leukemia	Philadelphia-positive B-cell acute lymphoblastic leukemia	1.08E-02	 	 	 	 	SLC2A1	1	
Molecular Transport, Small Molecule Biochemistry	secretion	Secretion of lactic acid	1.08E-02	 	 	 	 	SLC2A1	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	familial epilepsy	Familial epilepsy	1.12E-02	 	 	 	 	CTSB,SLC2A1	2	
Drug Metabolism, Nucleic Acid Metabolism, Small Molecule Biochemistry	activation	Activation of cytarabine	1.15E-02	 	 	 	 	HK1	1	
Endocrine System Disorders, Organismal Injury and Abnormalities	cold thyroid nodule	Benign cold thyroid nodule	1.15E-02	 	 	 	 	CTSB	1	
Carbohydrate Metabolism, Small Molecule Biochemistry	catabolism	Catabolism of proteoglycan	1.15E-02	 	 	 	 	CTSB	1	
Cell Death and Survival	cell death	Cell death of acinar gland cells	1.15E-02	 	 	 	 	CTSB	1	
DNA Replication, Recombination, and Repair	cleavage	Cleavage of DNA fragment	1.15E-02	 	 	 	 	OSBP2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tissue Morphology, Tumor Morphology	size	Size of lung tumor	1.22E-02	 	 	 	 	CTSB	1	
Cellular Development, Cellular Growth and Proliferation, Digestive System Development and Function, Hepatic System Development and Function, Organ Development	proliferation	Proliferation of liver cells	1.23E-02	 	 	 	 	SLC7A5,CTSB	2	
Infectious Diseases	infection	Infection by RNA virus	1.23E-02	 	 	 	 	CTSB,SLC2A1,KEL,BSG	4	
Cellular Development, Cellular Growth and Proliferation, Hair and Skin Development and Function	growth	Arrest in growth of epithelial cell lines	1.30E-02	 	 	 	 	OSBP2	1	
Cancer, Organismal Injury and Abnormalities	growth	Arrest in growth of tumor	1.30E-02	 	 	 	 	SLC7A5	1	
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	pigmented villonodular synovitis	Pigmented villonodular synovitis	1.30E-02	 	 	 	 	FTL	1	
Cell Death and Survival	apoptosis	Apoptosis of erythroblasts	1.37E-02	 	 	 	 	LYL1	1	
Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders	damage	Damage of hippocampus	1.37E-02	 	 	 	 	CTSB	1	
Cell Death and Survival, Cell Morphology, Nervous System Development and Function, Neurological Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	loss	Loss of Purkinje cells	1.37E-02	 	 	 	 	CTSB	1	
Cardiovascular System Development and Function, Organismal Development	maturation	Maturation of blood vessel	1.37E-02	 	 	 	 	LYL1	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tissue Morphology	quantity	Quantity of pulmonary metastasis	1.37E-02	 	 	 	 	CTSB	1	
Cellular Assembly and Organization	accumulation	Accumulation of lysosome	1.44E-02	 	 	 	 	CTSB	1	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	development	Development of erythroid cells	1.44E-02	 	 	 	 	KLF1	1	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of cytotoxic T cells	1.44E-02	 	 	 	 	SLC2A1	1	
Cancer, Endocrine System Disorders, Organismal Injury and Abnormalities	thyroid follicular adenoma	Thyroid follicular adenoma	1.44E-02	 	 	 	 	CTSB	1	
Hematological Disease, Infectious Diseases	infection	Infection by Zaire ebolavirus	1.51E-02	 	 	 	 	CTSB	1	
Skeletal and Muscular Disorders	torticollis	Torticollis	1.51E-02	 	 	 	 	FTL	1	
Hematological Disease, Immunological Disease, Infectious Diseases	infection	Infection of T lymphocytes	1.58E-02	 	 	 	 	SLC2A1	1	
Cancer, Developmental Disorder, Embryonic Development, Organismal Injury and Abnormalities	invasion	Invasion of trophoblast	1.58E-02	 	 	 	 	BSG	1	
Nervous System Development and Function	coordination	Coordination	1.62E-02	 	 	 	 	SLC2A1,KEL	2	
Cell Death and Survival	cell death	Cell death of pro-B lymphocytes	1.65E-02	 	 	 	 	CTSB	1	
Cell Death and Survival, Skeletal and Muscular System Development and Function	cell viability	Cell viability of muscle cell lines	1.65E-02	 	 	 	 	CTSB	1	
Cellular Movement	invasion	Invasion of stomach cancer cell lines	1.65E-02	 	 	 	 	BSG	1	
Cellular Function and Maintenance, Small Molecule Biochemistry	homeostasis	Homeostasis of metal ion	1.72E-02	 	 	 	 	FTL,KEL	2	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development	proliferation	Arrest in proliferation of embryonic cell lines	1.72E-02	 	 	 	 	OSBP2	1	
Carbohydrate Metabolism, Small Molecule Biochemistry	consumption	Consumption of D-glucose	1.72E-02	 	 	 	 	SLC2A1	1	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of CD8+ T lymphocyte	1.72E-02	 	 	 	 	SLC2A1	1	
Organismal Injury and Abnormalities, Renal and Urological Disease	dysfunction	Dysfunction of kidney	1.72E-02	 	 	 	 	BSG	1	
Developmental Disorder, Endocrine System Disorders, Hereditary Disorder, Organismal Injury and Abnormalities, Reproductive System Disease	globozoospermia	Globozoospermia	1.72E-02	 	 	 	 	OSBP2	1	
Cancer, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	hepatocellular carcinoma	Unresectable hepatocellular carcinoma	1.72E-02	 	 	 	 	BSG	1	
Cellular Function and Maintenance, Molecular Transport, Small Molecule Biochemistry	iron homeostasis	Iron homeostasis	1.80E-02	 	 	 	 	FTL	1	
Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Morphology	quantity	Quantity of colony-forming erythroid cells	1.80E-02	 	 	 	 	LYL1	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Connective Tissue Development and Function	stimulation	Stimulation of fibroblasts	1.80E-02	 	 	 	 	BSG	1	
Cellular Development, Cellular Growth and Proliferation	cell proliferation	Cell proliferation of hepatoma cell lines	1.81E-02	 	 	 	 	SLC2A1,BSG	2	
Cell Death and Survival	apoptosis	Apoptosis	1.85E-02	 	 	 	 	CTSB,SPECC1,SLC2A1,HK1,OSBP2,LYL1,BSG	7	
Cell Death and Survival	cell death	Cell death of hematopoietic progenitor cells	1.85E-02	 	 	 	 	CTSB,LYL1	2	
Cell Morphology, Endocrine System Disorders, Organ Morphology, Organismal Injury and Abnormalities, Reproductive System Development and Function, Reproductive System Disease	abnormal morphology	Abnormal morphology of acrosome	1.87E-02	 	 	 	 	OSBP2	1	
Cellular Function and Maintenance	function	Function of hematopoietic progenitor cells	1.87E-02	 	 	 	 	LYL1	1	
Post-Translational Modification, Protein Degradation	oxidation	Oxidation of protein	1.87E-02	 	 	 	 	FTL	1	
Cancer, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	liver carcinoma	Liver carcinoma	1.92E-02	 	 	 	 	SLC7A5,FTL,FAM104A,TMCC2,SLC1A5,SPECC1,HK1,KEL,BSG	9	
Reproductive System Development and Function	decidualization	Decidualization of uterus	1.94E-02	 	 	 	 	CTSB	1	
Cardiovascular System Development and Function, Organ Morphology	dilation	Dilation of left ventricle	1.94E-02	 	 	 	 	SLC2A1	1	
Gastrointestinal Disease	gastroesophageal reflux	Gastroesophageal reflux	1.94E-02	 	 	 	 	CTSB	1	
Cellular Assembly and Organization	regulation	Regulation of mitochondria	1.94E-02	 	 	 	 	KLF1	1	
Inflammatory Response	immune response	Immune response of cells	1.98E-02	 	 	 	 	CTSB,SLC1A5,OSBP2	3	
Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	hepatic injury	Hepatic injury	2.01E-02	 	 	 	 	CTSB,BSG	2	
